stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\CVUT\PIA\bouncingLogoSeminarWork\PIA_seminarWork_bouncingLogo\x64\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   5.78821] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78825] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78830] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78834] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78838] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78842] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78846] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78851] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78859] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78864] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78869] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78873] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78878] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78882] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78887] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78891] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78897] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78901] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78906] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78910] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78914] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78919] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78923] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78928] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78934] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78939] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78945] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78949] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78953] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78959] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78964] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78969] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78975] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78980] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78984] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78989] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78995] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.79000] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79006] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79010] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79016] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79021] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79032] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79037] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79043] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79048] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79054] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79059] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79064] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79069] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79075] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79080] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79084] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79088] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79093] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79099] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79104] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79109] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79114] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79119] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79123] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79129] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79134] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79139] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79144] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79149] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79154] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79159] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79164] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79169] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79175] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79181] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79185] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79191] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79196] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79201] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79207] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79212] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79217] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79222] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79226] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79231] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79236] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79241] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79246] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79255] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79260] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79265] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79270] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79275] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79280] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79285] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79290] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79297] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79303] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79309] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79316] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79323] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79329] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79334] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79340] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79345] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79350] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79355] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79360] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79364] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79370] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79375] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79383] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79388] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79395] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79400] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79405] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79410] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79416] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79421] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79426] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79435] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79442] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79448] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79452] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79458] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79463] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   5.79468] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79473] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79478] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   5.79483] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   5.79491] Single Buffer requirement not met.
